QueryText,KccAns
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT NEXED TWO DAYS CHANCE OF LIGHT RAIN FALL.
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN TOMATO ?,SPRAY PROCLAIM @ 180-200 ML IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING TO WEATHER?,TODAY THERE ARE CHANCES OF RAIN
INFORMATION REGARDING WEATHER FORECAST?,weather remains cloudy .
INFORMATION REGARDING FOR THE FERTILIZER DOSE AT THE TIME OF SOWING OF MAIZE CROP?,"FERTILIZER DOSE AT THE TIME OF SOWING OF MAIZE CROP IS-DAP-55KG ,MOP-20KG & UREA-30KG/ACRE."
HOW TO CONTROL LEAF CURL IN TOMATO CROP ?,SPRAY TO ROGOR @ 250 ML IN 80-100 LITER OF WATER / ACRE .
CONTROL OF PURPLE BLOTCH IN ONION?,APPLICATION OF 600GM INDOFIL M-45 IN 200LT WATER/ACRE.
INFORMATION REGARDING PAU?,0161-2411960
INFORMATION REGARDING FOR CONTROL OF STEM ROT IN BERSEEM ?,SPRAY SIXER @ 500 GM IN 200 LITRE WATER/ACRE.
WHAT IS UREA REQUIREMENT OF PEACH TREE OF AGE 7-9 YEARS?,700-900 GM UERA/TREE.
information regarding weather ?,some clouds and no chances of rainfall .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND NO CHANCE OF RAIN FALL TODAY.
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"Mostly cloudy with a couple of thunderstorms
-07-04-2014."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND  CHANCE OF RAIN FALL NEXT TOW   TODAY.
Information regarding weather of Amritsar?,"Warmer with some sunshine giving way to cloudy skies, no chance of rainfall."
Information regarding how to control Gram Caterpillras in Barseem?,Spray 200 ml. Indoxacarb 15.8%EC in 100 lt. of water per acre.
information regarding stopping fruit dropping in citrus plants ?,SPRAY PLANOFIX 1 ML IN 4.5 LITRE OF WATER
INFORMATION REGARDING THE CONTROL OF CATTERPILLAR IN BARSEEM IN BARSEEM?,SPRAY 50ML CORAGEN IN 100 LTR WATER.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"Sutable Variety of Paddy (Zona) -P-121, Par-122, on -123,-118, on -18, on -114, on -111, -116, on -16, -115, on -13, on -13, Pusa-44, Hakar-47, Pusa Punjab Basmati-1509, Punjab Basmati-3."
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,SPRAY CONFIDOR ( IMIDACLOPRID) 100 ML @ 100 LITERS WATER/ACRE.
Information regarding weather of Amritsar?,"Cloudy, no chance of rainfall."
INFORMATION REGARDING CATERPILLAR IN BERSEEM ?,SPRAY EKALUX 400 ML IN 100 LITRE OF WATER PER ACRE
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 80GM THIAMATHOXAM/ACRE IN 150LITRE WATER."
INFORMATION REGARDING VARIETY OF PADDY ?,"PR 121,PR 122,PR 123, PUNJAB BASMATI 1509,PUSA BASMATI 1121"
INFORMATION REGARDING FOR CONTROL OF BLIGHT IN CITRUS ?,SPRAY BLITOX @ 3 GM IN 1 LITRE WATER.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF OKRA(BHINDI)?,"SUITABLE VARIETIES OF OKRA(BHINDI) IS-PUNJAB-8(55Q/ACRE),OH-016,OH-152,HYBRID NO.-3,HYBRID NO.-18,PUSA SAVANI.PUNJAB-7(45Q/ACRE)"
INFORMATION REGARDING VARIETIES OF JHONA?,"On-123, but -122, but -121."
information regarding collect the changi kheti?,I have to the contact no-0161 - 2401960.
INFORMATION REGARDING FOR WEATHER,chances of rain in next two days
INFORMATION REGARDING FOR THE CONTROL OF ARMYWORM IN WHEAT CROP?,"FOR THE CONTROL OF ARMYWORM IN WHEAT CROP,SPRAY 400 ML QUINALPHOS 25% EC IN 100 LITRE OF WATER PER ACRE."
INFORMATION REGARDING IMPROVED VARIETIES OF BASMATI RICE ?,"Basmati-386, Pusa Basmati No-1, Basmati-370, Pusa Basmati-1121, Punjab Mehak-1, Punjab Basmati-2."
INFORMATION REGARDING FOR THE CONTROL OF ARMY WORM ATTACK ON SPRING MAIZE(BAHAR RUT DI MAKKI) CROP?,"FOR THE CONTROL OF ARMY WORM ATTACK ON SPRING MAIZE(BAHAR RUT DI MAKKI) CROP,SPRAY 250ML CYPERMETHRIN 25%EC MIXED WITH 150LITRE WATER PER ACRE."
information regarding weather of amritsar?,rainfall expected in next few days.
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS SOME CHANCE OF RAIN
Information regarding varieties of Lemon?,"Punjab Rendered Lemon, Kagzi."
INFORMATION REGARDING TO WEATHER?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN.
Information regarding weather of Amritsar?,"Some clouds, chances of rainfall and thunderstorms."
information regarding weather ?,some clouds and some chances of rainfall .
Information regarding for wather ?,some clouds and chance of rain
INFORMATION REGARDING CONTROL OF FLOWER DROP IN CHEK PEA?,SPRAY  1  ML  PLANOFIX / 4.5 LITER WATER
INFORMATION REGARDING FOR THE IRRIGATION ?,STOP THE IRRIGATION BEFORE 25 DAYS OF HARVESTING.
information regarding weather ?,"Light rain (total 6mm), mostly falling on Sun night."
Information regarding weather of Amritsar?,"Some clouds, chances of light rainfall and thunderstorms."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND some  CHANCE OF RAIN FALL TODAY.
INFORMATION REGARDING RED BITTLE IN SQUASH MELON ?,SPRAY LANNED 200 ML IN 150 LITRE OF WATER PER ACRE
INFORMATION REGARDING WEATHER FORECAST?,WEATHER OF patiala-SKY IS PARTLY CLOUDY AND 10-20% CHANCE TO RAINFALL TODAY.
information regarding little leaf in brijal?,spray 250-300 ml blue copper and 6ml streptocyclin in 150 liter of water/acre.
INFORMATION REGARDING FOR WEATHER,TODAY CHANCES OF RAIN  AND THUNDERSTORM
INFORMATION REGARDING FOR THE CONTROL OF JASSID ATTACK IN OKRA(BHINDI)?,"FOR THE CONTROL OF JASSID ATTACK IN OKRA(BHINDI),PLEASE SPRAY ACETAMIPRIDE-200GM IN 150LITRE WATER/ACRE."
INFORMATION REGARDING FOR CONTROL OF TERMITE IN WHEAT ?,BROADCAST CHOLOPYRIPHOS @ 1 LITRE IN 20-25 KG SOIL/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF FUNGUS IN CHAPPAN KADDU ?,SPRAY BLUE COPPER @ 250 GM IN 150 LITRE WATER/ACRE.
information regarding sowing time of Ginger?,April to May.
Information regarding for tomato plant protection ?,spray bavistn 400gm in 200 liter water/acre
INFORMATION REGARDING TO WEATHER?,today chances of rainfall
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND CHANCES OF RAINFALL .
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?
FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT (PROPICONAZOL) OR FOLICUR (TABUCONAZOL) IN 200LITRE WATER PER ACRE."
INFORMATION REGARDING WEATHER FORECAST,10% chances of rain today
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN CHILLIES ?,SPRAY SIXER @ 500 GM IN 200 LITRE WATER/ACRE.
INFORMATION REGARDING SOWING TIME OF GINGER ?,SOWING TIME OF GINGER IS APRAIL - MAY .
weather for today?,10% chances of rain today
information regarding dhaincha?,"variety is punjab dhaincha-1,seed rate 20kg/acreaverage yield 7-8 quintals/acre"
INFORMATION REGARDING FOR THE CONTROL OF GRAPEVINES THRIPS IN GRAPES ?,SPRAY MALATHION 50 EC @ 1 ML IN 1 LITRE WATER.
INFORMATION REGARDING FOR THE CONTROL OF DAMPING OFF DISEASE IN OKRA(BHINDI) CROP?,"FOR THE CONTROL OF DAMPING OFF DISEASE IN OKRA(BHINDI) CROP,PLEASE SPRAY-200GM BAVISTIN IN 150LITRE WATER/ACRE."
INFORMATION REGARDING WEATHER FORECAST,WEATHER IS CLEARB FOR FEW DAYS IN AMRITSAR.
INFORMATION REGARDING WEATHER FORECAST,THERE ARE NO CHANCES OF RAIN IN NEXT FEW DAYS.
Information regarding for moong varity ?,"moong varity-SML832,SML668"
informasion regarding of bilt of barseem ?,spray of avant 150ml 150lt water/ acre.
Information regarding sowing time of Ginger?,Sowing time of Ginger started from April to May.
INFORMATION REGARDING FOR THE CONTROL OF ZINC DEFICIENCY IN GUAVA ?,SPRAY ZINC SULPHATE 1 KG + 0.5 KG UNSLAKED LIME IN 100-125 LITRE WATER.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS NORMAL AND NO CHANCE OF RAIN FALL TODAY
Information regarding how to control Yellow Vein Mosaic Virus in Bhindi?,Spray 50 gm. Actara in 100 lt. of water per acre.
INFORMATION REGARDING FOR THE SEED RATE OF MAIZE?,SEED RATE OF MAIZE IS -10KG/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF FUNGUS IN BERSEEM ?,SPRAY SAAF @ 500 GM IN 200 LITRE WATER/ACRE.
INFORMATION REGARDING FOR THE STOP OF YELLOWING IN WHEAT CROP?,"FOR THE STOP OF YELLOWING IN WHEAT CROP,APPLY-3KG SULPHUR WITH 25KG UREA AFTER 1ST IRRIGATION."
information regarding weather ?,some clouds and NO chances of rainfall .
INFORMATION REGARDING TO WEATHER?,clear wather
INFORMATION REGARDING CONTROL OF BLIGHT IN BARSEAM?,SPRAY SAAF @ 500 ML 100 LITERS OF WATER/ACRE.
caterpillar control in maize,pls spray alanto 200ml in 120 ltrs of water/acre
INFORMATION REGARDING CONTROL OF BLIGHT IN BARSEAM?,SPRAY SAAF @ 500 ML IN 100 LITERS OF WATER/ACRE.
THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR CONTROL OF STEM ROT IN BERSEEM ?,SPRAY SAAF @ 500 GM IN 200 LITRE WATER/ACRE.
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN GRAPES?,"SPRAY BAVISTIN 1 GM IN ONE LITRE WATER + 2,4-D @ 4-5 DROPS IN SPRAY PUMP."
weed control in okra?,plz spray stomp ilt in  100 ltrs of water/acre
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 100GM THIAMATHOXAM/ACRE IN 120-150LITRE WATER."
INFORMATION REGARDING WEATHER FORECAST,WEATHER IS CLEAR FOR FEW DAYS IN AMRITSAR.
INFOMATION REGARDING CONTROL OF WEED IN MAIZE?,SPRAY OF 2-4D 58%@400ML IN 200 LITRE WATER/ACER.
information regarding sugarcana?,plant fresh sugarcane seed nearby ungerminated seed.
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,"FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP,PLS SPRAY 200ML INDOXACARB 15.8%EC(AVANT) IN 100 LITRE WATER OR 50ML CHLORANTRANILIPROLE 18.5%ML(CORAGEN) IN 150LITRE WATER PER ACRE."
INFORMATION REGARDING CONTROL OF CATERPILLAR IN BARSEAM?,SPRAY CORAGEN @ 50 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING CONTROL OF STEM BORER IN SUGARCANE?,SPRAY MONOCIL 500 ML + NUVAN 100 ML IN 150 LITERS OF WATER/ACRE.
INFORMATION REGARDING FOR CONTROL OF FRUIT BORER IN TOMATO ?,SPRAY DECISION 2.8 @ 160 ml in 125 liter water/acre.
INFORMATION REGARDING TO WEATHER?,NO CHANCES OF RAINFALL in next 5 days
Information regarding varieties of Moong?,"SML-832, SML-668."
CONTROL OF EARLY BLIGHT IN TOMATO?,APPLICATION OF 600GM M-45 IN 200LT WATER/ACRE.
INFROMATION REGARDING FOR LEAF CURL IN OKRA ?,SPRAY BLUE COPPER @ 300 GM + 6 GM STREPTOMYCIN IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING CONTECT NUMBER OF H.D.O AMRITSAR ?,CONTECT NUMBER OF H.D.O AMRITSAR : 9915705813 .
information regarding growth in squash melon?,spray 500gm npk(0:52:34) in 100 litre of water/acre
INFORMATION REGARDING FOR THE SPACING OF PLANT TO PLANT & ROW TO ROW IN SQUASH MELON(TINDA)  CROP?,SOWING SHOULD BE DONE ON BOTH SIDES OF 1.5M. WIDE BEDS KEEPING PLANT TO PLANT DISTANCE OF 45CM IN SQUASH MELON(TINDA)  CROP.
information regarding cattle pillar in tinda?,spray 400ml acqalux in 200 litre of water/acre
caterpillar control in gram?,spray ekalux 400ml in200ltrs of water
INFORMATION REGARDING TO WEATHER?,no chances of rainfall in next few days
INFORMATION REGARDING FOR THE TOTAL DOSE OF UREA IN SQUASH MELON(TINDA)?,FOR THE TOTAL DOSE OF UREA IN SQUASH MELON(TINDA)90KG/HA.
CONTROL OF EARLY SHOOT BORER IN SUGARCANE?,APPLICATION OF 10KG PADAN/ACRE. MIXED WITH 20KG MOIST SAND.
INFORMATION REGARDING TO WEATHER?,TODAY NO  CHANCH  OF  RAIN FALL
INFORMATION REGARDING FOR THE WEATHER?,CLEAR SUNNY WEATHER FOR TODAY
INFORMATION REGARDING FOR CONTROL OF BLIGHT IN TOMATO ?,SPRAY BLUE COPPER 500 GM + 6 GM STREPTOMYCIN IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS clear NO CHANCE OF RAINFALL IN NEXT TWO DAYS.
Information regarding how to control Caterpillars in Barseem?,Spray 200 ml. Indoxacarb 15.8% (Avaunt) in 100 lt. of water per acre.
Information regarding weather of Amritsar?,"Mostly sunny, no chance of rainfall."
information regarding weather of amritsar?,chances of showers on 13 april
INFORMATION REGARDING FOR THE CONTROL OF BORER IN BARSSEM CROP?,SPRAY CORAGEN 60ML IN 100 LTR WATER.
Information regarding how to control fruit droping in Lemon?,Spray 1 ml. Planofix in 4.5 lt. of water.
INFORMATION REGARDING FOR THE CATERPILER IN BARSEEM?,APPLY AVAUNT @ 150 ML PER 200 LITRE WATER
Information regarding for wather ?,clear wather
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BOTTLEGOURD(GHIYA KADDU)?,"THE SUITABLE VARIETIES OF BOTTLEGOURD(GHIYA KADDU) IS -PUNJAB KOMAL,PUNJAB ROUND,EARLY LONG,PSPL,PUSA NAILIN,HYBRID NO.-13 & PB.-14"
INFORMATION REGARDING INSECTICIDE IN TOMATO?,COROZEN 40 ML WITH 100LTR WATER
Information regarding how to control weeds in Onion?,Only hand hoeing to control weeds in onion.
INFORMATION REGARDING CONTROL OF BLIGHT IN TOMATO?,APPLICATION OF 600GM INDOFIL M-45 IN 200LT WATER/ACRE.
CONTROL OF ROTTING IN BARSEEM?,APPLICATION OF 500GM SAAF IN 200LT WATER/ACRE.
INFORMATION REGARDING WEATHER FORECAST,"INFORMATION REGARDING WEATHER FORECAST
WEATHER UPDATE: THERE ARE SOME CHANCES OF RAINFALL TODAY
THERE ARE NO CHANCES OF RAIN IN NEXT FEW DAYS."
information regarding fruit dropping of grapes ?,information regarding fruit dropping of grapes : spray planofix 1 ml in 4.5 litre of water
"INFORMATION REGARDING FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP?","FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP,PLS SPRAY 150ML CORAGEN/ACRE IN 400 LITRE WATER."
Information regarding varieties of Basmati?,"Pusa Punjab Basmati-1509, Pusa-1121, Basmati-370."
HOW TO CONTROL LEAF CATERPILAR IN BARSEAM CROP ?,SPRAY TO AVAUNT (INDOXACARV 15.8%)200ML IN 150 LITER OF WATER / ACRE .
information regarding wether?,40% chances of rainfall tomorrow
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,10% CHANCE OF RAINFALL TWO DAYS.
INFORMATION REGARDING FOR CONTROL OF APHIDS IN WHEAT ?,SPRAY CONFIDOR @ 80 ML IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING CONTROL OF LEAFCUARL IN KADDU?,SPRAY CONFIDOR @ 80 ML 100 LITERS OF WATER/ACRE.
information regarding varieties of paddy,"11211509, PUSA PUNJAB BASMATI-3"
informasion regarding of life blit in tamato?,spray of 400 g saff 200 lt water/acre.
INFORMATION REGARDUING FOR THE CONTROL OF APHIDS IN TOMATO CROP?,"FOR THE CONTROL OF APHIDS IN TOMATO CROP,PLS. SPRAY IMIDA-100ML OR ACTARA-30GM/ACRE IN 120LITRE WATER."
INFORMATION REGARDING WEATHER CONDITION OF AMRITSAR?,CHANCE OF 1MM RAINFALL TODAY.
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCE OF 1MM RAINFALL TODAY.
INFORMATION REGARDING WEATHER FORECAST,THERE ARE SOME CHANCES OF RAINFALL TODAY
weather informasion in amritsar?,today rainfull in amritsar.
weather informasion in amritsar?,today rainfull chance in amritsar.
INFORMATION REGARDING FOR WEATHER,TODAY THERE ARE CHANCES OF RAIN
information regarding weather of amritsar?,chances of rainfall for few days
INFORMATION REGTARDING FOR CONTROL OF CATERPILAR IN MAIZE ?,SPRAY MONOCIL 200 ML + 100 ML NUVAN IN 150 LITRE WATER/ACRE.
vareities of maize?,varieties of maize pmh-2.
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCES OF RAINFALL FOR FEW DAYS
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND CHANCE OF RAIN FALL NEXT DAYS.
INFORMATION REGARDING TO WEATHER?,WEATHER IS CLOUDY AND LIGHT CHANCE OF RAIN IN NEXT TWO DAYS.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND CHANCE OF RAIN FALL NEXT DAYS
INFORMATION REGARDING CHANCE OF RAINFALL ?,10% CHANCE OF RAINFALL .
infaormation regarding weather?,today weather is cloudy and some chances of rainfall
INFORMATION REGARDING CONTROL OF RUIT DROPING IN CITRUS?,"SPRAY 2,4-D @ 1GM/1 LITER WATER ."
INFORMATION REGARDING FOR THE CONTROL OF SHOOT BORER IN FORAGE MAIZE(CHARE WALI MAKKI)?,"FOR THE CONTROL OF SHOOT BORER IN FORAGE MAIZE(CHARE WALI MAKKI) CROP,PLS SPRAY-CYPERMETHRIN-250ML OR CARTAP HYDROCHLORIDE(POWDER)-250GM IN 160LITRE WATER/ACRE."
INFORMATION REGARDING TO WEATHER?,WEATHER REMAIN CLOUDY AND SOME CHANCES OF SHOWERS IN AMRITSAR.
regarding to weather?,cloudy weather some chances of rain next 2 days
information regarding weather?,today no chances of rainfall
INFORMATION REGARDING FOR THE CONTROL OF LEAF/FRUIT EATING CATTERPILLER IN TOMATO CROP?,"FOR THE CONTROL OF LEAF/FRUIT EATING CATTERPILLER IN TOMATO CROP,PLS. SPRAY LARVIN(THIODICARB)-250GM/ACRE IN 120LITRE WATER."
HOW TO CONTROL FUNGAL DISEASES CHILLI CROP ?,SPRAY TO SAFF @ 400GM IN 200 LITER OF WATER / ACRE .
INFORMATION REGARDING CONTROL OF BLIGHT IN TOMATO?,SPRAY RIDOMIL @ 80 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARING WEATHER CONDITION ?,WEATHER IS CLEAR NEXT DAYS.
information regarding fruit dropping in citrus?,spray 1ml planofix in 4 litre of water/plant
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN BRINJAL ?,SPRAY PROCLAIM @ 200 ML IN 125-150 LITRE WATER/ACRE.
"INFORMATION REGARDING FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP?","FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP,PLS SPRAY-200GM METHOMYL 40%SL /ACRE."
INFORMATION REGARDING FOR THE CONTROL OF  SUNDI  IN BARSEEM CROP?,SPRAY  40  ML  CORAJAN  IN  100  LITER WATER  /  ACER
INFORMATION REGARDING WEATHER in amritsar?,chance rain in amritsar today.
HOW TO CONTROL  ARMY WORM AND  PINK STEM BORER IN WHEAT CROP,SPRAY EKALUX (QUINALPHOS-25EC)@ 800ML/200 LITER WATER FOR CONTROL PINK STEM BORER IN WHEAT CROP.
INFORMATION REGARDING FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP?,"FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP,PLS SPRAY-CYPERMETHRIN-250ML OR CARTAP HYDROCHLORIDE(POWDER)-250GM IN 160LITRE WATER/ACRE."
INFROMATION REGARDING CONTROL OF BLIGHT IN TOMATO?,APPLICATION OF 300GM M-45 IN 100LTR WATER/ACRE.
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN BERSEEM ?,SPRAY CORAGEN @ 60 ML IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING FRUIT BORER IN BHINDI?,SPRAY-SUMICIDIN 20EC 100ML WITH 100-125 LITER WATER
INFORMATION REGARDING CONTROL OF FRUIT DROP IN CITRUS?,APPLICATION OF 20GMAUREOFUNGIN IN 500LT WATER. ADJUST DOSE ACCORDINGLY.
Information regarding for wheat plant protection ?,spary akalux 500gm in 200 liter water/acre
information regarding weather ?,some chances of rainfall tomorrow
information regarding control of caterpillar in barseem?,spray of korajen@60ml in 200 litre water/acer
information regarding control of caterpiller in wheat?,spray of korajen@60ml in200 litre waer/acer
information regarding of weather ?,weather is cloudy & no chances of rainfall
INFORMATION REGARDING WEATHER OF AMRITSAR SAHIB?,CHANCES OF RAINFALL ON 19-20 APRIL
information regarding fubgal attack in barseem?,spray 500gm bavistin in 200 liter of water/acre.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER  CLOUDY AND SAME CHANCE OF RAIN FALL NEXT TWO DAYS.
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"Sunny spells, then increasing cloud and very warm"
INFORMATION REGARDING  FOR THE WEATHER ?,WEATHER IS CLOUDY BUT  NO CHANCES OF RAINFALL NEXT TWO DAYS.
information regarding weather of amritsar?,chances of rainfall on 19 april
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS cLOUDY and some chance of rain yesterday.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER  CLOUDY  AND SAME CHANCE OF RAIN FALL NEXT  DAYS.
information regardingof weather?,weather is cloudy of few days
Information regarding weather of Amritsar?,"Some clouds, chances of rainfall."
Information regarding weather of Amritsar?,"Some clouds, chances of light rainfall."
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS cLOUDY IN NEXT TWO DAYS.
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,Clear periods with a shower overnight
Information regarding how to control Caterpillars in Barseem?,Spray 200 ml. Indoxacarb in 100 lt. of water per acre.
INFORMATION REGARDING FOR GROWTH OF CHAPPAN KADDU ?,SPRAY NPK (0:0:50) @ 1 KG IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING  FOR THE WEATHER ?,SOME CHANCE FO RAINFALL TODAY
INFORMATION REGARDING  FOR THE WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL NEXT TWO DAYS.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION CHANCE OF RAIN FALL TODAY.
INFORMATION REGARDING FOR CONTROL OF TERMITE IN SUGARCANE ?,BROADCAST REGENT @ 10 KG/ACRE BEFORE EARTHING UP.
information regarding weather of Amritsar?,rainfall expected in next few days.
Information regarding how to control Early Shoot-Borer in sugarcane?,Spray 150 ml. Coragen in 250 lt. of water per acre.
INFORMATION REGARDING WEATHER?,SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND   CHANCE OF RAIN FALL TODAY.
INFORMATION REGARDING WEATHER FORECAST  ?,WEATHER IS cLOUDY IN NEXT TWO DAYS.  AND SOME CHANCE OF RAIN.
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN TOMATO ?,SPRAY BLUE COPPER @ 300 GM IN 100 LITRE WATER/ACRE.
information regarding weather ?,today some  chances of rainfall
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCE OF 2-3 MM RAINFALL TODAY NIGHT.
"Information regarding contact no. of GADVASU, Ludhiana?","0161-2414045, 2414046."
INFORMATION REGARDING FOR THE CONTROL OF CATERPILAR IN CHILLIES ?,SPRAY EM-1 @ 200 ML IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING FOR WEATHER,"WEATHER REMAIN CLOUDY AND CHANCES OF SHOWERS ON 17, 18 AND 19 APRIL IN AMRITSAR."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF GREEN GRAM(MOONGI)?,"THE SUITABLE VARIETIES OF GREEN GRAM(MOONGI)-IN MARCH-APRIL-MH-421,SML-832,SML-668 & IN JULY-PAU-911,ML-818,ML-613."
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS  and CHANCES OF RAINFALL    TODAY .
information regarding control dropping of fruits and leaf ?,spray 1ml planofix in 4 Ltr of water /plant .
INFORMATION REGARDING GROWTH OF TOMATO?,19:19:19 NPK 1KG WITH 100LITER WATER SPRAY PR ACRE
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,Plenty of cloud with a thunderstorm in places later
Information regarding newly released variety of Paddy?,PR-123 with an average yields 29 qtl. per acre.
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCES OF HEAVY RAINFALL FOR NEXT 3 DAYS
INFORMATION REGARDING TO WEATHER ?,THERE ARE CHANCES OF RAIN FOR NEXT TWO DAYS
INFORMATION REGARDING TO WEATHER ?,THERE ARE CHANCES OF RAIN FOR THREE DAYS FROM TODAY
information regarding of weather?,weather is cloudy & some rain fall of few days
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-650 BG-II(NEW VARIETY-2014),RCH-776 BG-II(NEW VARIETY-2014),NCS 855 BG-II,ANKUR-3028 BG-II,MRC-7017 BG II & MRC-7031 BG II."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,"
HOW TO CONTROL FLOWER DROPING IN MANGO CROP ?,SPRAY TO PLANOFIX @ 1ML IN 4.5 LITER OF WATER / SOLUTION .
HOW TO CONTROL LEAF CATERPILAR IN BARSEAM CROP ?,SPRAY TO TRACKER (PHENOSULFONIC ACID 480EC ) @ 60ML IN 80-100 LITER OF WATER / ACRE .
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 2 days.
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 200LITRE WATER."
